,car_model,year_of_manufacture,price,fuel,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
148,alto k10,2010,2910.4477611940297,Petrol,118.0,88.0,58.0,28.0,,,
149,ciaz,2015,11119.402985074626,Diesel,119.0,89.0,59.0,29.0,,,
150,ritz,2014,5000.0,Petrol,120.0,90.0,60.0,30.0,0.0,,
151,sx4,2013,7089.55223880597,Diesel,121.0,91.0,61.0,31.0,1.0,,
152,ciaz,2017,10820.89552238806,Petrol,122.0,92.0,62.0,32.0,2.0,,
153,wagon r,2011,4253.731343283582,Petrol,123.0,93.0,63.0,33.0,3.0,,
154,swift,2014,6865.671641791044,Diesel,124.0,94.0,64.0,34.0,4.0,,
155,vitara brezza,2018,13805.970149253732,Diesel,125.0,95.0,65.0,35.0,5.0,,
156,ciaz,2015,10074.626865671642,Petrol,126.0,96.0,66.0,36.0,6.0,,
157,s cross,2015,9701.492537313432,Diesel,127.0,97.0,67.0,37.0,7.0,,
158,ciaz,2016,13059.701492537311,Diesel,128.0,98.0,68.0,38.0,8.0,,
159,ciaz,2015,11119.402985074626,Diesel,129.0,99.0,69.0,39.0,9.0,,
160,alto 800,2017,4253.731343283582,Petrol,130.0,100.0,70.0,40.0,10.0,,
161,ciaz,2015,10223.880597014926,Diesel,131.0,101.0,71.0,41.0,11.0,,
162,ciaz,2015,11194.029850746268,Petrol,132.0,102.0,72.0,42.0,12.0,,
163,ertiga,2015,9104.477611940298,Petrol,133.0,103.0,73.0,43.0,13.0,,
164,dzire,2009,3358.208955223881,Petrol,134.0,104.0,74.0,44.0,14.0,,
165,ertiga,2016,11567.164179104477,Diesel,135.0,105.0,75.0,45.0,15.0,,
166,ertiga,2015,10820.89552238806,Diesel,136.0,106.0,76.0,46.0,16.0,,
167,ertiga,2016,11567.164179104477,Diesel,137.0,107.0,77.0,47.0,17.0,,
168,wagon r,2015,4850.746268656716,CNG,138.0,108.0,78.0,48.0,18.0,,
169,sx4,2010,3955.223880597015,Petrol,139.0,109.0,79.0,49.0,19.0,,
170,alto k10,2016,4253.731343283582,Petrol,140.0,110.0,80.0,50.0,20.0,,
171,ignis,2017,7313.432835820897,Petrol,141.0,111.0,81.0,51.0,21.0,,
172,sx4,2011,6567.164179104479,Petrol,142.0,112.0,82.0,52.0,22.0,,
173,alto k10,2014,3731.3432835820895,Petrol,143.0,113.0,83.0,53.0,23.0,,
174,wagon r,2013,4328.358208955224,Petrol,144.0,114.0,84.0,54.0,24.0,,
175,swift,2011,4477.611940298508,Petrol,145.0,115.0,85.0,55.0,25.0,,
176,swift,2013,6194.029850746269,Petrol,146.0,116.0,86.0,56.0,26.0,,
177,swift,2017,8955.223880597016,Petrol,147.0,117.0,87.0,57.0,27.0,,
178,alto k10,2010,2910.4477611940297,Petrol,148.0,118.0,88.0,58.0,28.0,,
179,ciaz,2015,11119.402985074626,Diesel,149.0,119.0,89.0,59.0,29.0,,
180,ritz,2014,5000.0,Petrol,150.0,120.0,90.0,60.0,30.0,0.0,
181,sx4,2013,7089.55223880597,Diesel,151.0,121.0,91.0,61.0,31.0,1.0,
182,ciaz,2017,10820.89552238806,Petrol,152.0,122.0,92.0,62.0,32.0,2.0,
183,wagon r,2011,4253.731343283582,Petrol,153.0,123.0,93.0,63.0,33.0,3.0,
184,swift,2014,6865.671641791044,Diesel,154.0,124.0,94.0,64.0,34.0,4.0,
185,vitara brezza,2018,13805.970149253732,Diesel,155.0,125.0,95.0,65.0,35.0,5.0,
186,ciaz,2015,10074.626865671642,Petrol,156.0,126.0,96.0,66.0,36.0,6.0,
187,s cross,2015,9701.492537313432,Diesel,157.0,127.0,97.0,67.0,37.0,7.0,
188,ciaz,2016,13059.701492537311,Diesel,158.0,128.0,98.0,68.0,38.0,8.0,
189,ciaz,2015,11119.402985074626,Diesel,159.0,129.0,99.0,69.0,39.0,9.0,
190,alto 800,2017,4253.731343283582,Petrol,160.0,130.0,100.0,70.0,40.0,10.0,
191,ciaz,2015,10223.880597014926,Diesel,161.0,131.0,101.0,71.0,41.0,11.0,
192,ciaz,2015,11194.029850746268,Petrol,162.0,132.0,102.0,72.0,42.0,12.0,
193,ertiga,2015,9104.477611940298,Petrol,163.0,133.0,103.0,73.0,43.0,13.0,
194,dzire,2009,3358.208955223881,Petrol,164.0,134.0,104.0,74.0,44.0,14.0,
195,ertiga,2016,11567.164179104477,Diesel,165.0,135.0,105.0,75.0,45.0,15.0,
196,ertiga,2015,10820.89552238806,Diesel,166.0,136.0,106.0,76.0,46.0,16.0,
197,ertiga,2016,11567.164179104477,Diesel,167.0,137.0,107.0,77.0,47.0,17.0,
198,wagon r,2015,4850.746268656716,CNG,168.0,138.0,108.0,78.0,48.0,18.0,
199,sx4,2010,3955.223880597015,Petrol,169.0,139.0,109.0,79.0,49.0,19.0,
200,alto k10,2016,4253.731343283582,Petrol,170.0,140.0,110.0,80.0,50.0,20.0,
201,ignis,2017,7313.432835820897,Petrol,171.0,141.0,111.0,81.0,51.0,21.0,
202,sx4,2011,6567.164179104479,Petrol,172.0,142.0,112.0,82.0,52.0,22.0,
203,alto k10,2014,3731.3432835820895,Petrol,173.0,143.0,113.0,83.0,53.0,23.0,
204,wagon r,2013,4328.358208955224,Petrol,174.0,144.0,114.0,84.0,54.0,24.0,
205,swift,2011,4477.611940298508,Petrol,175.0,145.0,115.0,85.0,55.0,25.0,
206,swift,2013,6194.029850746269,Petrol,176.0,146.0,116.0,86.0,56.0,26.0,
207,swift,2017,8955.223880597016,Petrol,177.0,147.0,117.0,87.0,57.0,27.0,
208,alto k10,2010,2910.4477611940297,Petrol,178.0,148.0,118.0,88.0,58.0,28.0,
209,ciaz,2015,11119.402985074626,Diesel,179.0,149.0,119.0,89.0,59.0,29.0,
210,ritz,2014,5000.0,Petrol,180.0,150.0,120.0,90.0,60.0,30.0,0.0
211,sx4,2013,7089.55223880597,Diesel,181.0,151.0,121.0,91.0,61.0,31.0,1.0
212,ciaz,2017,10820.89552238806,Petrol,182.0,152.0,122.0,92.0,62.0,32.0,2.0
213,wagon r,2011,4253.731343283582,Petrol,183.0,153.0,123.0,93.0,63.0,33.0,3.0
214,swift,2014,6865.671641791044,Diesel,184.0,154.0,124.0,94.0,64.0,34.0,4.0
215,vitara brezza,2018,13805.970149253732,Diesel,185.0,155.0,125.0,95.0,65.0,35.0,5.0
216,ciaz,2015,10074.626865671642,Petrol,186.0,156.0,126.0,96.0,66.0,36.0,6.0
217,s cross,2015,9701.492537313432,Diesel,187.0,157.0,127.0,97.0,67.0,37.0,7.0
218,ciaz,2016,13059.701492537311,Diesel,188.0,158.0,128.0,98.0,68.0,38.0,8.0
219,ciaz,2015,11119.402985074626,Diesel,189.0,159.0,129.0,99.0,69.0,39.0,9.0
220,alto 800,2017,4253.731343283582,Petrol,190.0,160.0,130.0,100.0,70.0,40.0,10.0
221,ciaz,2015,10223.880597014926,Diesel,191.0,161.0,131.0,101.0,71.0,41.0,11.0
222,ciaz,2015,11194.029850746268,Petrol,192.0,162.0,132.0,102.0,72.0,42.0,12.0
223,ertiga,2015,9104.477611940298,Petrol,193.0,163.0,133.0,103.0,73.0,43.0,13.0
224,dzire,2009,3358.208955223881,Petrol,194.0,164.0,134.0,104.0,74.0,44.0,14.0
225,ertiga,2016,11567.164179104477,Diesel,195.0,165.0,135.0,105.0,75.0,45.0,15.0
226,ertiga,2015,10820.89552238806,Diesel,196.0,166.0,136.0,106.0,76.0,46.0,16.0
227,ertiga,2016,11567.164179104477,Diesel,197.0,167.0,137.0,107.0,77.0,47.0,17.0
228,wagon r,2015,4850.746268656716,CNG,198.0,168.0,138.0,108.0,78.0,48.0,18.0
229,sx4,2010,3955.223880597015,Petrol,199.0,169.0,139.0,109.0,79.0,49.0,19.0
230,alto k10,2016,4253.731343283582,Petrol,200.0,170.0,140.0,110.0,80.0,50.0,20.0
231,ignis,2017,7313.432835820897,Petrol,201.0,171.0,141.0,111.0,81.0,51.0,21.0
232,sx4,2011,6567.164179104479,Petrol,202.0,172.0,142.0,112.0,82.0,52.0,22.0
233,alto k10,2014,3731.3432835820895,Petrol,203.0,173.0,143.0,113.0,83.0,53.0,23.0
234,wagon r,2013,4328.358208955224,Petrol,204.0,174.0,144.0,114.0,84.0,54.0,24.0
235,swift,2011,4477.611940298508,Petrol,205.0,175.0,145.0,115.0,85.0,55.0,25.0
236,swift,2013,6194.029850746269,Petrol,206.0,176.0,146.0,116.0,86.0,56.0,26.0
237,swift,2017,8955.223880597016,Petrol,207.0,177.0,147.0,117.0,87.0,57.0,27.0
238,alto k10,2010,2910.4477611940297,Petrol,208.0,178.0,148.0,118.0,88.0,58.0,28.0
239,ciaz,2015,11119.402985074626,Diesel,209.0,179.0,149.0,119.0,89.0,59.0,29.0
240,ritz,2012,4626.8656716418,Diesel,210.0,180.0,150.0,120.0,90.0,60.0,30.0
241,ritz,2011,3507.4626865672,Petrol,211.0,181.0,151.0,121.0,91.0,61.0,31.0
242,swift,2014,7388.0597014925,Diesel,212.0,182.0,152.0,122.0,92.0,62.0,32.0
243,ertiga,2014,8955.223880597,Diesel,213.0,183.0,153.0,123.0,93.0,63.0,33.0
244,dzire,2014,8208.9552238806,Diesel,214.0,184.0,154.0,124.0,94.0,64.0,34.0
245,sx4,2011,4402.9850746269,CNG,215.0,185.0,155.0,125.0,95.0,65.0,35.0
246,dzire,2015,6940.2985074627,Petrol,216.0,186.0,156.0,126.0,96.0,66.0,36.0
247,800,2003,522.3880597015,Petrol,217.0,187.0,157.0,127.0,97.0,67.0,37.0
248,alto k10,2016,4477.6119402985,Petrol,218.0,188.0,158.0,128.0,98.0,68.0,38.0
249,sx4,2003,3358.2089552239,Petrol,219.0,189.0,159.0,129.0,99.0,69.0,39.0
250,fortuner,2012,22238.8059701493,Diesel,220.0,190.0,160.0,130.0,100.0,70.0,40.0
251,fortuner,2015,34328.3582089552,Diesel,221.0,191.0,161.0,131.0,101.0,71.0,41.0
252,innova,2017,26865.671641791,Diesel,222.0,192.0,162.0,132.0,102.0,72.0,42.0
253,fortuner,2013,23880.5970149254,Diesel,223.0,193.0,163.0,133.0,103.0,73.0,43.0
254,innova,2005,4104.4776119403,Petrol,224.0,194.0,164.0,134.0,104.0,74.0,44.0
255,corolla altis,2009,5373.1343283582,Petrol,225.0,195.0,165.0,135.0,105.0,75.0,45.0
256,etios cross,2015,6716.4179104478,Petrol,226.0,196.0,166.0,136.0,106.0,76.0,46.0
257,corolla altis,2010,7089.552238806,Petrol,227.0,197.0,167.0,137.0,107.0,77.0,47.0
258,etios g,2014,6119.4029850746,Petrol,228.0,198.0,168.0,138.0,108.0,78.0,48.0
259,fortuner,2014,29835.8208955224,Diesel,229.0,199.0,169.0,139.0,109.0,79.0,49.0
260,baleno,2016,8731.3432835821,Petrol,230.0,200.0,170.0,140.0,110.0,80.0,50.0
261,alto k10,2014,3805.9701492537,Petrol,231.0,201.0,171.0,141.0,111.0,81.0,51.0
262,sx4,2008,2910.447761194,Petrol,232.0,202.0,172.0,142.0,112.0,82.0,52.0
263,dzire,2014,8208.9552238806,Diesel,233.0,203.0,173.0,143.0,113.0,83.0,53.0
264,omni,2012,1865.671641791,Petrol,234.0,204.0,174.0,144.0,114.0,84.0,54.0
265,ciaz,2014,11194.0298507463,Petrol,235.0,205.0,175.0,145.0,115.0,85.0,55.0
266,ritz,2013,3955.223880597,Petrol,236.0,206.0,176.0,146.0,116.0,86.0,56.0
267,wagon r,2006,1567.1641791045,Petrol,237.0,207.0,177.0,147.0,117.0,87.0,57.0
268,ertiga,2015,8656.7164179104,Petrol,238.0,208.0,178.0,148.0,118.0,88.0,58.0
269,ciaz,2017,11567.1641791045,Petrol,239.0,209.0,179.0,149.0,119.0,89.0,59.0
270,corolla altis,2016,21985.07462686568,Diesel,240.0,210.0,180.0,150.0,120.0,90.0,60.0
271,etios gd,2015,7089.55223880597,Diesel,241.0,211.0,181.0,151.0,121.0,91.0,61.0
272,innova,2017,34328.35820895522,Diesel,242.0,212.0,182.0,152.0,122.0,92.0,62.0
273,innova,2015,18656.716417910447,Diesel,243.0,213.0,183.0,153.0,123.0,93.0,63.0
274,innova,2005,5208.955223880597,Diesel,244.0,214.0,184.0,154.0,124.0,94.0,64.0
275,camry,2006,3731.3432835820895,Petrol,245.0,215.0,185.0,155.0,125.0,95.0,65.0
276,land cruiser,2010,52238.80597014925,Diesel,246.0,216.0,186.0,156.0,126.0,96.0,66.0
277,corolla altis,2012,8805.970149253732,Petrol,247.0,217.0,187.0,157.0,127.0,97.0,67.0
278,etios liva,2013,5149.253731343284,Petrol,248.0,218.0,188.0,158.0,128.0,98.0,68.0
279,etios g,2014,7089.55223880597,Petrol,249.0,219.0,189.0,159.0,129.0,99.0,69.0
280,ritz,2012,4626.8656716418,Diesel,250.0,220.0,190.0,160.0,130.0,100.0,
281,ritz,2011,3507.4626865672,Petrol,251.0,221.0,191.0,161.0,131.0,101.0,
282,swift,2014,7388.0597014925,Diesel,252.0,222.0,192.0,162.0,132.0,102.0,
283,ertiga,2014,8955.223880597,Diesel,253.0,223.0,193.0,163.0,133.0,103.0,
284,dzire,2014,8208.9552238806,Diesel,254.0,224.0,194.0,164.0,134.0,104.0,
285,sx4,2011,4402.9850746269,CNG,255.0,225.0,195.0,165.0,135.0,105.0,
286,dzire,2015,6940.2985074627,Petrol,256.0,226.0,196.0,166.0,136.0,106.0,
287,800,2003,522.3880597015,Petrol,257.0,227.0,197.0,167.0,137.0,107.0,
288,alto k10,2016,4477.6119402985,Petrol,258.0,228.0,198.0,168.0,138.0,108.0,
289,sx4,2003,3358.2089552239,Petrol,259.0,229.0,199.0,169.0,139.0,109.0,
290,fortuner,2012,22238.8059701493,Diesel,260.0,230.0,200.0,170.0,140.0,110.0,
291,fortuner,2015,34328.3582089552,Diesel,261.0,231.0,201.0,171.0,141.0,111.0,
292,innova,2017,26865.671641791,Diesel,262.0,232.0,202.0,172.0,142.0,112.0,
293,fortuner,2013,23880.5970149254,Diesel,263.0,233.0,203.0,173.0,143.0,113.0,
294,innova,2005,4104.4776119403,Petrol,264.0,234.0,204.0,174.0,144.0,114.0,
295,corolla altis,2009,5373.1343283582,Petrol,265.0,235.0,205.0,175.0,145.0,115.0,
296,etios cross,2015,6716.4179104478,Petrol,266.0,236.0,206.0,176.0,146.0,116.0,
297,corolla altis,2010,7089.552238806,Petrol,267.0,237.0,207.0,177.0,147.0,117.0,
298,etios g,2014,6119.4029850746,Petrol,268.0,238.0,208.0,178.0,148.0,118.0,
299,fortuner,2014,29835.8208955224,Diesel,269.0,239.0,209.0,179.0,149.0,119.0,
300,baleno,2016,8731.3432835821,Petrol,270.0,240.0,210.0,180.0,150.0,120.0,
301,alto k10,2014,3805.9701492537,Petrol,271.0,241.0,211.0,181.0,151.0,121.0,
302,sx4,2008,2910.447761194,Petrol,272.0,242.0,212.0,182.0,152.0,122.0,
303,dzire,2014,8208.9552238806,Diesel,273.0,243.0,213.0,183.0,153.0,123.0,
304,omni,2012,1865.671641791,Petrol,274.0,244.0,214.0,184.0,154.0,124.0,
305,ciaz,2014,11194.0298507463,Petrol,275.0,245.0,215.0,185.0,155.0,125.0,
306,ritz,2013,3955.223880597,Petrol,276.0,246.0,216.0,186.0,156.0,126.0,
307,wagon r,2006,1567.1641791045,Petrol,277.0,247.0,217.0,187.0,157.0,127.0,
308,ertiga,2015,8656.7164179104,Petrol,278.0,248.0,218.0,188.0,158.0,128.0,
309,ciaz,2017,11567.1641791045,Petrol,279.0,249.0,219.0,189.0,159.0,129.0,
310,corolla altis,2016,21985.07462686568,Diesel,280.0,250.0,220.0,190.0,160.0,130.0,
311,etios gd,2015,7089.55223880597,Diesel,281.0,251.0,221.0,191.0,161.0,131.0,
312,innova,2017,34328.35820895522,Diesel,282.0,252.0,222.0,192.0,162.0,132.0,
313,innova,2015,18656.716417910447,Diesel,283.0,253.0,223.0,193.0,163.0,133.0,
314,innova,2005,5208.955223880597,Diesel,284.0,254.0,224.0,194.0,164.0,134.0,
315,camry,2006,3731.3432835820895,Petrol,285.0,255.0,225.0,195.0,165.0,135.0,
316,land cruiser,2010,52238.80597014925,Diesel,286.0,256.0,226.0,196.0,166.0,136.0,
317,corolla altis,2012,8805.970149253732,Petrol,287.0,257.0,227.0,197.0,167.0,137.0,
318,etios liva,2013,5149.253731343284,Petrol,288.0,258.0,228.0,198.0,168.0,138.0,
319,etios g,2014,7089.55223880597,Petrol,289.0,259.0,229.0,199.0,169.0,139.0,
320,ritz,2012,4626.8656716418,Diesel,290.0,260.0,230.0,200.0,170.0,,
321,ritz,2011,3507.4626865672,Petrol,291.0,261.0,231.0,201.0,171.0,,
322,swift,2014,7388.0597014925,Diesel,292.0,262.0,232.0,202.0,172.0,,
323,ertiga,2014,8955.223880597,Diesel,293.0,263.0,233.0,203.0,173.0,,
324,dzire,2014,8208.9552238806,Diesel,294.0,264.0,234.0,204.0,174.0,,
325,sx4,2011,4402.9850746269,CNG,295.0,265.0,235.0,205.0,175.0,,
326,dzire,2015,6940.2985074627,Petrol,296.0,266.0,236.0,206.0,176.0,,
